created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Mon Dec 29 10:15:10 +0000 2014	549508921158021122	BarkPost	0	100	44	0	0	0	0	0	Huge Newfoundland plays hide and seek with his little sister and everyone wins via @BarkPost https://t.co/Ps1dn2S87b
Mon Dec 29 10:10:10 +0000 2014	549507662048923648	0	0	37	8	0	0	0	0	0	You won't believe how much these real life people look just like cartoon characters! https://t.co/fTO3OWjWrl
Mon Dec 29 09:25:03 +0000 2014	549496309376634881	0	photo	2613	958	0	0	0	0	http://t.co/TNoiu0BrDx	Look how small and adorable he is! http://t.co/TNoiu0BrDx
Mon Dec 29 09:10:01 +0000 2014	549492522649939968	0	0	35	10	0	0	0	0	0	You won't believe how amazing these whiteboard drawings are… talk about undercover artists! https://t.co/YVmkTZ1CMQ
Mon Dec 29 08:11:08 +0000 2014	549477706455609344	0	0	55	27	0	0	0	0	0	Kids can be brutally honest it's hilarious - here are some of their notes to prove it! https://t.co/BfcX0OuM7l
Mon Dec 29 07:40:04 +0000 2014	549469888096763905	0	photo	2332	604	0	0	0	0	http://t.co/KDuqOHWxaY	This is what he does when he's cold. http://t.co/KDuqOHWxaY
Mon Dec 29 07:30:14 +0000 2014	549467412283027457	0	photo	227	85	0	0	0	0	http://t.co/CLC1jlNLno	Did you know cats only meow at humans?! Check out 10 other crazy animal language facts http://t.co/3AyAlnJYDo||. http://t.co/CLC1jlNLno
Mon Dec 29 07:10:08 +0000 2014	549462356422836224	0	photo	1405	375	0	0	0	0	http://t.co/1FZ309rRY0	He hates baths http://t.co/1FZ309rRY0
Mon Dec 29 06:40:01 +0000 2014	549454776233385984	0	photo	998	339	0	0	0	0	http://t.co/cFQXoogFaw	My appetite today. http://t.co/cFQXoogFaw
Mon Dec 29 06:11:04 +0000 2014	549447488923779072	0	0	1659	983	0	0	0	0	0	I laughed way too hard at this. http://t.co/ruM9iFKfD1
Mon Dec 29 06:07:48 +0000 2014	549446667238641664	0	0	1855	1338	0	0	0	0	0	weeeeeee http://t.co/BpWPzmlpZn
Mon Dec 29 06:06:47 +0000 2014	549446411449008130	0	0	1086	505	0	0	0	0	0	i think I'm lost... http://t.co/YcO87Pkede
Mon Dec 29 06:00:04 +0000 2014	549444721190637569	0	photo	252	85	0	0	0	0	http://t.co/Frjl05nSCD	10 albino animals that left me speechless with how beautiful they are http://t.co/5JbtPD0QdW||. http://t.co/Frjl05nSCD
Mon Dec 29 05:42:11 +0000 2014	549440222157475841	OhMyCorgi	photo	0	1692	548889811327918080	4089	1692	Sat Dec 27 17:15:03 +0000 2014	http://t.co/qN0cpMukd4	RT @OhMyCorgi: a fluffy pembroke http://t.co/qN0cpMukd4
Mon Dec 29 05:42:02 +0000 2014	549440182118645760	OhMyCorgi	photo	0	1151	549342887339896832	2090	1151	Sun Dec 28 23:15:25 +0000 2014	http://t.co/COrffF0R0j	RT @OhMyCorgi: Corgi avengers! http://t.co/COrffF0R0j
Mon Dec 29 05:39:02 +0000 2014	549439426452262912	0	photo	1272	452	0	0	0	0	http://t.co/CL4HHkToUI	A very majestic husky. http://t.co/CL4HHkToUI
Mon Dec 29 05:09:24 +0000 2014	549431972163227649	0	0	3623	2489	0	0	0	0	0	brother? brother?! http://t.co/mSsvtjUkPl
Mon Dec 29 05:06:28 +0000 2014	549431232199946241	0	0	1500	871	0	0	0	0	0	Kitty boots! http://t.co/YND7UxUTdU
Mon Dec 29 04:58:11 +0000 2014	549429148741955585	0	photo	2996	1666	0	0	0	0	http://t.co/4vAN3d6MK4	When bae posts a selfie http://t.co/4vAN3d6MK4
Mon Dec 29 04:56:23 +0000 2014	549428695765504000	cutesyapp	photo	0	1805	549428613884706816	4728	1805	Mon Dec 29 04:56:04 +0000 2014	http://t.co/4nYx4QlCAw	RT @cutesyapp: Cutest wiener of the year award goes to... http://t.co/4nYx4QlCAw
Mon Dec 29 04:30:08 +0000 2014	549422090399809536	0	photo	101	46	0	0	0	0	http://t.co/UhaAvDLDCd	The secrets of being a Disneyland employee and the 14 rules they can NEVER break http://t.co/NFD3eViYiJ ||. http://t.co/UhaAvDLDCd
Mon Dec 29 04:25:02 +0000 2014	549420804447145985	0	photo	3359	1187	0	0	0	0	http://t.co/WiHKNpcP2x	love is unconditional http://t.co/WiHKNpcP2x
Mon Dec 29 04:05:47 +0000 2014	549415960138891264	0	photo	1660	1292	0	0	0	0	http://t.co/q9kwrxHc9b	RT if you miss Air Bud http://t.co/q9kwrxHc9b
Mon Dec 29 04:04:04 +0000 2014	549415529887182848	0	photo	2384	900	0	0	0	0	http://t.co/mIhMb6FIni	ME 😂😂 http://t.co/mIhMb6FIni
Mon Dec 29 04:00:09 +0000 2014	549414542732967937	0	photo	2065	1171	0	0	0	0	http://t.co/wWT1TZB5m4	my life goal is to be as happy as this monkey swinging on a rope http://t.co/wWT1TZB5m4
Mon Dec 29 03:35:01 +0000 2014	549408217902878720	0	photo	1051	344	0	0	0	0	http://t.co/qKf2MhLFeH	http://t.co/qKf2MhLFeH
Mon Dec 29 03:00:34 +0000 2014	549399547127287808	0	photo	166	48	0	0	0	0	http://t.co/tCMokFK1d3	America's 15 most dangerous jobs - you'll be surprised by a few! http://t.co/ymizBA1uNA||. http://t.co/tCMokFK1d3
Mon Dec 29 02:50:08 +0000 2014	549396922105356288	0	photo	2581	1074	0	0	0	0	http://t.co/lPExBqQfHf	I want a wolf best friend http://t.co/lPExBqQfHf
Mon Dec 29 02:25:01 +0000 2014	549390602773999616	0	photo	2036	657	0	0	0	0	http://t.co/cYBoiY8Y1g	Puppy smuggler http://t.co/cYBoiY8Y1g
Mon Dec 29 02:15:14 +0000 2014	549388139488620546	BarkPost	0	77	35	0	0	0	0	0	17 things you can do to make your dog live longer via @BarkPost https://t.co/6S3w4G5TDl
Mon Dec 29 01:45:17 +0000 2014	549380602148159489	0	photo	2650	1004	0	0	0	0	http://t.co/8DnZQjdIfC	best selfie ever http://t.co/8DnZQjdIfC
Mon Dec 29 01:30:02 +0000 2014	549376766507499520	0	photo	228	68	0	0	0	0	http://t.co/fJEKD2pNVz	These selfies are so epic they deserve an award - and disclaimer not to try them! http://t.co/nqsqBFDw6d||. http://t.co/fJEKD2pNVz
Mon Dec 29 01:19:33 +0000 2014	549374125676826624	0	photo	576	91	0	0	0	0	http://t.co/s1xYtf0yJl	What a little cute emergency. http://t.co/s1xYtf0yJl
Mon Dec 29 01:15:10 +0000 2014	549373023812612096	0	photo	434	53	0	0	0	0	http://t.co/oOgzzOAMi9	http://t.co/oOgzzOAMi9
