created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Sat Jun 22 13:50:12 +0000 2013	348437769342824448	WriteSpeakCode|jcn|sxsw	0	0	6	348161881049022464	3	6	Fri Jun 21 19:33:55 +0000 2013	0	RT @WriteSpeakCode: .@jcn Where to get talk experience: company brown bags, meetups, barcamps, huge conferences, incl. @SXSW. Record yourse…
Sat Jun 22 13:49:10 +0000 2013	348437507907661824	WriteSpeakCode|fhwang	0	0	1	348162540783669248	1	1	Fri Jun 21 19:36:32 +0000 2013	0	RT @WriteSpeakCode: .@fhwang When crafting a proposal, say things that a reasonable person would disagree with. (1/2).
Sat Jun 22 13:48:51 +0000 2013	348437427867762691	WriteSpeakCode	0	0	2	348162926303117313	0	2	Fri Jun 21 19:38:04 +0000 2013	0	RT @WriteSpeakCode: Gloria W: Also consider talks that teach. Explaining something that’s new to you &amp; the community (even a novel approach…
Sat Jun 22 13:48:28 +0000 2013	348437334938750977	corey_latislaw|WriteSpeakCode	0	0	2	348162365621145600	0	2	Fri Jun 21 19:35:51 +0000 2013	0	RT @corey_latislaw: Once you give one talk, it's much easier to get into additional conferences. @WriteSpeakCode
Sat Jun 22 13:48:09 +0000 2013	348437254009667584	corey_latislaw|WriteSpeakCode	0	0	4	348162462408900608	3	4	Fri Jun 21 19:36:14 +0000 2013	0	RT @corey_latislaw: You can give the same talk again. Give it until it is no longer relevant. @WriteSpeakCode
Sat Jun 22 13:47:33 +0000 2013	348437103211851777	corey_latislaw|lerna_|KimMacIM|WriteSpeakCode	0	0	6	348187576995303424	2	6	Fri Jun 21 21:16:02 +0000 2013	0	RT @corey_latislaw: Very excited about the presentation that we (me + @lerna_ + @KimMacIM) created at @WriteSpeakCode! http://t.co/Vt8PaEYG…
Sat Jun 22 13:46:27 +0000 2013	348436825897046017	WriteSpeakCode|10gen|CaseCommons|ChariotSolution|github|howaboutwe|Meetup	0	0	1	348435256942141442	1	1	Sat Jun 22 13:40:13 +0000 2013	0	RT @WriteSpeakCode: It's Code Day &amp; we send ♥ to Silver sponsors @10gen @CaseCommons @ChariotSolution @GitHub @HowAboutWe @Media_Radar @Mee…
Sat Jun 22 13:45:18 +0000 2013	348436536611713025	theresafreet|CodeMontage|WriteSpeakCode	0	0	3	348404498613547008	0	3	Sat Jun 22 11:38:00 +0000 2013	0	RT @theresafreet: Its time for #writespeakcode Code Day! So excited! @CodeMontage @WriteSpeakCode
Wed Jun 05 13:14:23 +0000 2013	342268162357743616	AppCamp4Girls	0	1	2	0	0	0	0	0	'App Camp For Girls' - Help make it happen! http://t.co/Owz8lbAhbt @AppCamp4Girls
Fri May 24 23:11:46 +0000 2013	338069844849213440	codevoyeur|href_	0	0	0	0	0	0	0	0	@codevoyeur - thanks for sending @href_'s post comparing popular web Python frameworks - really helpful!  http://t.co/2aTJ3DNhnf
Mon May 20 15:16:42 +0000 2013	336500737213358080	UNWomen_MetroNY|iHollaback|RightRides|UN_Women|WEDO_worldwide	0	1	3	0	0	0	0	0	Looking fwd to @UNWomen_MetroNY panel tomorrow: @iHollaback, @RightRides, Mega-Cities, @UN_Women |@WEDO_worldwide,  http://t.co/4SAj7YJTQA
Wed May 15 17:05:51 +0000 2013	334716266419998720	0	0	0	1	0	0	0	0	0	Women coders, time to be the most awesome dev you can be! Write/Speak/Code NYC conference tickets on sale NOW!! - http://t.co/KdKgvyaUkN
Thu May 09 04:34:01 +0000 2013	332352735733219329	ashedryden	0	0	0	0	0	0	0	0	@ashedryden thank you so much for the great ideas and feedback Monday - I really appreciate it!
Tue May 07 17:32:03 +0000 2013	331823757792526338	UNWomen_MetroNY|hotelchantelle	0	0	11	331240026589519872	2	11	Mon May 06 02:52:31 +0000 2013	0	RT @UNWomen_MetroNY: Thursday our YPs &amp; @hotelchantelle will host "A Night to Say NO" to end #VAW; open bar, DJ dance party, photo boot…
Sun May 05 14:30:37 +0000 2013	331053324751228928	0	0	0	0	0	0	0	0	0	Sexually assaults happen to 1 in 4 students, yet schools don't file 90%. Help change this! 'Know Your IX' campaign http://t.co/J0dXHjnA6K
Wed May 01 21:20:49 +0000 2013	329707002353831938	0	0	1	0	0	0	0	0	0	omg, so amazingly awesome! http://t.co/nXVtiIX88a
